,Missing,Percentage
PoolQC,1453,99.52
MiscFeature,1406,96.3
Alley,1369,93.77
Fence,1179,80.75
MasVnrType,872,59.73
FireplaceQu,690,47.26
LotFrontage,259,17.74
GarageQual,81,5.55
GarageFinish,81,5.55
GarageType,81,5.55
GarageYrBlt,81,5.55
GarageCond,81,5.55
BsmtFinType2,38,2.6
BsmtExposure,38,2.6
BsmtCond,37,2.53
BsmtQual,37,2.53
BsmtFinType1,37,2.53
MasVnrArea,8,0.55
Electrical,1,0.07
Condition2,0,0.0
BldgType,0,0.0
Neighborhood,0,0.0
LandSlope,0,0.0
LotConfig,0,0.0
Condition1,0,0.0
LandContour,0,0.0
LotShape,0,0.0
Street,0,0.0
LotArea,0,0.0
MSSubClass,0,0.0
MSZoning,0,0.0
Id,0,0.0
Utilities,0,0.0
HouseStyle,0,0.0
Foundation,0,0.0
ExterQual,0,0.0
ExterCond,0,0.0
BsmtUnfSF,0,0.0
TotalBsmtSF,0,0.0
Heating,0,0.0
BsmtFinSF1,0,0.0
Exterior2nd,0,0.0
Exterior1st,0,0.0
RoofMatl,0,0.0
RoofStyle,0,0.0
YearRemodAdd,0,0.0
OverallQual,0,0.0
YearBuilt,0,0.0
OverallCond,0,0.0
BsmtHalfBath,0,0.0
BsmtFullBath,0,0.0
GrLivArea,0,0.0
LowQualFinSF,0,0.0
2ndFlrSF,0,0.0
1stFlrSF,0,0.0
CentralAir,0,0.0
HeatingQC,0,0.0
BsmtFinSF2,0,0.0
Fireplaces,0,0.0
TotRmsAbvGrd,0,0.0
KitchenQual,0,0.0
KitchenAbvGr,0,0.0
Functional,0,0.0
FullBath,0,0.0
HalfBath,0,0.0
GarageCars,0,0.0
GarageArea,0,0.0
BedroomAbvGr,0,0.0
PavedDrive,0,0.0
EnclosedPorch,0,0.0
3SsnPorch,0,0.0
OpenPorchSF,0,0.0
WoodDeckSF,0,0.0
PoolArea,0,0.0
ScreenPorch,0,0.0
MiscVal,0,0.0
MoSold,0,0.0
YrSold,0,0.0
SaleType,0,0.0
SaleCondition,0,0.0
SalePrice,0,0.0
